c1		c2		c1parents		c2parents		conf	match	alt_c1		alt_c2		ignored_c1
CORE:0000003	mass	Wikidata:Q2675986	Mass	CORE:0000001	quality	Wikidata:Q217295	mass	low	mass			Wikidata:Q11423|Wikidata:Q16876520|Wikidata:Q17040596|Wikidata:Q17040608|Wikidata:Q1907296|Wikidata:Q1907308|Wikidata:Q217295|Wikidata:Q28222102|Wikidata:Q3536789|Wikidata:Q50950793|Wikidata:Q6783972|Wikidata:Q6783974	mass|Mass|Mass|Mass|Mass|Mass|mass|Mass|Mass|Mass|Mass|Mass	
CORE:0000003	mass	Wikidata:Q28222102	Mass	CORE:0000001	quality	Wikidata:Q207628	musical composition	low	mass			Wikidata:Q11423|Wikidata:Q16876520|Wikidata:Q17040596|Wikidata:Q17040608|Wikidata:Q1907296|Wikidata:Q1907308|Wikidata:Q217295|Wikidata:Q2675986|Wikidata:Q3536789|Wikidata:Q50950793|Wikidata:Q6783972|Wikidata:Q6783974	mass|Mass|Mass|Mass|Mass|Mass|mass|Mass|Mass|Mass|Mass|Mass	
CORE:0000003	mass	Wikidata:Q3536789	Mass	CORE:0000001	quality	Wikidata:Q11424	film	low	mass			Wikidata:Q11423|Wikidata:Q16876520|Wikidata:Q17040596|Wikidata:Q17040608|Wikidata:Q1907296|Wikidata:Q1907308|Wikidata:Q217295|Wikidata:Q2675986|Wikidata:Q28222102|Wikidata:Q50950793|Wikidata:Q6783972|Wikidata:Q6783974	mass|Mass|Mass|Mass|Mass|Mass|mass|Mass|Mass|Mass|Mass|Mass	
CORE:0000003	mass	Wikidata:Q50950793	Mass	CORE:0000001	quality	Wikidata:Q3305213	painting	low	mass			Wikidata:Q11423|Wikidata:Q16876520|Wikidata:Q17040596|Wikidata:Q17040608|Wikidata:Q1907296|Wikidata:Q1907308|Wikidata:Q217295|Wikidata:Q2675986|Wikidata:Q28222102|Wikidata:Q3536789|Wikidata:Q6783972|Wikidata:Q6783974	mass|Mass|Mass|Mass|Mass|Mass|mass|Mass|Mass|Mass|Mass|Mass	
CORE:0000003	mass	Wikidata:Q6783972	Mass	CORE:0000001	quality	Wikidata:Q482994	album	low	mass			Wikidata:Q11423|Wikidata:Q16876520|Wikidata:Q17040596|Wikidata:Q17040608|Wikidata:Q1907296|Wikidata:Q1907308|Wikidata:Q217295|Wikidata:Q2675986|Wikidata:Q28222102|Wikidata:Q3536789|Wikidata:Q50950793|Wikidata:Q6783974	mass|Mass|Mass|Mass|Mass|Mass|mass|Mass|Mass|Mass|Mass|Mass	
CORE:0000003	mass	Wikidata:Q6783974	Mass	CORE:0000001	quality	Wikidata:Q7725634	literary work	low	mass			Wikidata:Q11423|Wikidata:Q16876520|Wikidata:Q17040596|Wikidata:Q17040608|Wikidata:Q1907296|Wikidata:Q1907308|Wikidata:Q217295|Wikidata:Q2675986|Wikidata:Q28222102|Wikidata:Q3536789|Wikidata:Q50950793|Wikidata:Q6783972	mass|Mass|Mass|Mass|Mass|Mass|mass|Mass|Mass|Mass|Mass|Mass	
CORE:0000004	charge	Wikidata:Q16245536	Charge	CORE:0000001	quality	Wikidata:Q482994	album	low	charge			Wikidata:Q26156976|Wikidata:Q5074241|Wikidata:Q5074242|Wikidata:Q5074243|Wikidata:Q5074247|Wikidata:Q54839652	Charge|Charge|Charge|charge|Charge|Charge	
CORE:0000004	charge	Wikidata:Q26156976	Charge	CORE:0000001	quality	Wikidata:Q26001212|Wikidata:Q26001248|Wikidata:Q26013475	electric-type Pokémon move|Status move|Clever move	low	charge			Wikidata:Q16245536|Wikidata:Q5074241|Wikidata:Q5074242|Wikidata:Q5074243|Wikidata:Q5074247|Wikidata:Q54839652	Charge|Charge|Charge|charge|Charge|Charge	
CORE:0000004	charge	Wikidata:Q5074241	Charge	CORE:0000001	quality	Wikidata:Q482994	album	low	charge			Wikidata:Q16245536|Wikidata:Q26156976|Wikidata:Q5074242|Wikidata:Q5074243|Wikidata:Q5074247|Wikidata:Q54839652	Charge|Charge|Charge|charge|Charge|Charge	
CORE:0000004	charge	Wikidata:Q5074242	Charge	CORE:0000001	quality	Wikidata:Q5398426	television series	low	charge			Wikidata:Q16245536|Wikidata:Q26156976|Wikidata:Q5074241|Wikidata:Q5074243|Wikidata:Q5074247|Wikidata:Q54839652	Charge|Charge|Charge|charge|Charge|Charge	
