c1		c2		c1parents		c2parents		conf	match	alt_c1		alt_c2		ignored_c1
CORE:0000017	cell	Wikidata:Q859351	Cell	CORE:0000006	material entity	Wikidata:Q15632617	fictional human	low	cell			Wikidata:Q17050502|Wikidata:Q3664265|Wikidata:Q469889|Wikidata:Q655814|Wikidata:Q7868	Cell|Cell|Cell|Cell|Cell	
CORE:0000023	human	Wikidata:Q1145446	Human	CORE:0000022	organism	Wikidata:Q134556	single	low	human			Wikidata:Q15949933|Wikidata:Q16870920|Wikidata:Q19320962|Wikidata:Q1993138|Wikidata:Q20629223|Wikidata:Q27921626|Wikidata:Q3044582|Wikidata:Q5|Wikidata:Q5936825|Wikidata:Q5936827|Wikidata:Q5936834|Wikidata:Q5936837|Wikidata:Q735359|Wikidata:Q823310|Wikidata:Q849189|Wikidata:Q919463|Wikidata:Q924827	Human|Human|Human|Human|Human|Human|Human|human|Human|Human|Human|Human|Human|human|Human|Human|Human	
CORE:0000023	human	Wikidata:Q15949933	Human	CORE:0000022	organism	Wikidata:Q208569	studio album	low	human			Wikidata:Q1145446|Wikidata:Q16870920|Wikidata:Q19320962|Wikidata:Q1993138|Wikidata:Q20629223|Wikidata:Q27921626|Wikidata:Q3044582|Wikidata:Q5|Wikidata:Q5936825|Wikidata:Q5936827|Wikidata:Q5936834|Wikidata:Q5936837|Wikidata:Q735359|Wikidata:Q823310|Wikidata:Q849189|Wikidata:Q919463|Wikidata:Q924827	Human|Human|Human|Human|Human|Human|Human|human|Human|Human|Human|Human|Human|human|Human|Human|Human	
CORE:0000023	human	Wikidata:Q16870920	Human	CORE:0000022	organism	Wikidata:Q101352	family name	low	human			Wikidata:Q1145446|Wikidata:Q15949933|Wikidata:Q19320962|Wikidata:Q1993138|Wikidata:Q20629223|Wikidata:Q27921626|Wikidata:Q3044582|Wikidata:Q5|Wikidata:Q5936825|Wikidata:Q5936827|Wikidata:Q5936834|Wikidata:Q5936837|Wikidata:Q735359|Wikidata:Q823310|Wikidata:Q849189|Wikidata:Q919463|Wikidata:Q924827	Human|Human|Human|Human|Human|Human|Human|human|Human|Human|Human|Human|Human|human|Human|Human|Human	
CORE:0000023	human	Wikidata:Q19320962	Human	CORE:0000022	organism	Wikidata:Q482994	album	low	human			Wikidata:Q1145446|Wikidata:Q15949933|Wikidata:Q16870920|Wikidata:Q1993138|Wikidata:Q20629223|Wikidata:Q27921626|Wikidata:Q3044582|Wikidata:Q5|Wikidata:Q5936825|Wikidata:Q5936827|Wikidata:Q5936834|Wikidata:Q5936837|Wikidata:Q735359|Wikidata:Q823310|Wikidata:Q849189|Wikidata:Q919463|Wikidata:Q924827	Human|Human|Human|Human|Human|Human|Human|human|Human|Human|Human|Human|Human|human|Human|Human|Human	
CORE:0000023	human	Wikidata:Q1993138	Human	CORE:0000022	organism	Wikidata:Q482994	album	low	human			Wikidata:Q1145446|Wikidata:Q15949933|Wikidata:Q16870920|Wikidata:Q19320962|Wikidata:Q20629223|Wikidata:Q27921626|Wikidata:Q3044582|Wikidata:Q5|Wikidata:Q5936825|Wikidata:Q5936827|Wikidata:Q5936834|Wikidata:Q5936837|Wikidata:Q735359|Wikidata:Q823310|Wikidata:Q849189|Wikidata:Q919463|Wikidata:Q924827	Human|Human|Human|Human|Human|Human|Human|human|Human|Human|Human|Human|Human|human|Human|Human|Human	
CORE:0000023	human	Wikidata:Q20629223	Human	CORE:0000022	organism	Wikidata:Q11424	film	low	human			Wikidata:Q1145446|Wikidata:Q15949933|Wikidata:Q16870920|Wikidata:Q19320962|Wikidata:Q1993138|Wikidata:Q27921626|Wikidata:Q3044582|Wikidata:Q5|Wikidata:Q5936825|Wikidata:Q5936827|Wikidata:Q5936834|Wikidata:Q5936837|Wikidata:Q735359|Wikidata:Q823310|Wikidata:Q849189|Wikidata:Q919463|Wikidata:Q924827	Human|Human|Human|Human|Human|Human|Human|human|Human|Human|Human|Human|Human|human|Human|Human|Human	
CORE:0000023	human	Wikidata:Q27921626	Human	CORE:0000022	organism	Wikidata:Q134556|Wikidata:Q7366	single|song	low	human			Wikidata:Q1145446|Wikidata:Q15949933|Wikidata:Q16870920|Wikidata:Q19320962|Wikidata:Q1993138|Wikidata:Q20629223|Wikidata:Q3044582|Wikidata:Q5|Wikidata:Q5936825|Wikidata:Q5936827|Wikidata:Q5936834|Wikidata:Q5936837|Wikidata:Q735359|Wikidata:Q823310|Wikidata:Q849189|Wikidata:Q919463|Wikidata:Q924827	Human|Human|Human|Human|Human|Human|Human|human|Human|Human|Human|Human|Human|human|Human|Human|Human	
CORE:0000023	human	Wikidata:Q3044582	Human	CORE:0000022	organism	Wikidata:Q21191270	television series episode	low	human			Wikidata:Q1145446|Wikidata:Q15949933|Wikidata:Q16870920|Wikidata:Q19320962|Wikidata:Q1993138|Wikidata:Q20629223|Wikidata:Q27921626|Wikidata:Q5|Wikidata:Q5936825|Wikidata:Q5936827|Wikidata:Q5936834|Wikidata:Q5936837|Wikidata:Q735359|Wikidata:Q823310|Wikidata:Q849189|Wikidata:Q919463|Wikidata:Q924827	Human|Human|Human|Human|Human|Human|Human|human|Human|Human|Human|Human|Human|human|Human|Human|Human	
CORE:0000023	human	Wikidata:Q5	human	CORE:0000022	organism	Wikidata:Q55983715	group of organisms known by one particular common name	low	human			Wikidata:Q1145446|Wikidata:Q15949933|Wikidata:Q16870920|Wikidata:Q19320962|Wikidata:Q1993138|Wikidata:Q20629223|Wikidata:Q27921626|Wikidata:Q3044582|Wikidata:Q5936825|Wikidata:Q5936827|Wikidata:Q5936834|Wikidata:Q5936837|Wikidata:Q735359|Wikidata:Q823310|Wikidata:Q849189|Wikidata:Q919463|Wikidata:Q924827	Human|Human|Human|Human|Human|Human|Human|Human|Human|Human|Human|Human|Human|human|Human|Human|Human	
CORE:0000023	human	Wikidata:Q5936825	Human	CORE:0000022	organism	Wikidata:Q169930	extended play	low	human			Wikidata:Q1145446|Wikidata:Q15949933|Wikidata:Q16870920|Wikidata:Q19320962|Wikidata:Q1993138|Wikidata:Q20629223|Wikidata:Q27921626|Wikidata:Q3044582|Wikidata:Q5|Wikidata:Q5936827|Wikidata:Q5936834|Wikidata:Q5936837|Wikidata:Q735359|Wikidata:Q823310|Wikidata:Q849189|Wikidata:Q919463|Wikidata:Q924827	Human|Human|Human|Human|Human|Human|Human|Human|human|Human|Human|Human|Human|human|Human|Human|Human	
CORE:0000023	human	Wikidata:Q5936827	Human	CORE:0000022	organism	Wikidata:Q482994	album	low	human			Wikidata:Q1145446|Wikidata:Q15949933|Wikidata:Q16870920|Wikidata:Q19320962|Wikidata:Q1993138|Wikidata:Q20629223|Wikidata:Q27921626|Wikidata:Q3044582|Wikidata:Q5|Wikidata:Q5936825|Wikidata:Q5936834|Wikidata:Q5936837|Wikidata:Q735359|Wikidata:Q823310|Wikidata:Q849189|Wikidata:Q919463|Wikidata:Q924827	Human|Human|Human|Human|Human|Human|Human|Human|human|Human|Human|Human|Human|human|Human|Human|Human	
CORE:0000023	human	Wikidata:Q5936834	Human	CORE:0000022	organism	Wikidata:Q482994	album	low	human			Wikidata:Q1145446|Wikidata:Q15949933|Wikidata:Q16870920|Wikidata:Q19320962|Wikidata:Q1993138|Wikidata:Q20629223|Wikidata:Q27921626|Wikidata:Q3044582|Wikidata:Q5|Wikidata:Q5936825|Wikidata:Q5936827|Wikidata:Q5936837|Wikidata:Q735359|Wikidata:Q823310|Wikidata:Q849189|Wikidata:Q919463|Wikidata:Q924827	Human|Human|Human|Human|Human|Human|Human|Human|human|Human|Human|Human|Human|human|Human|Human|Human	
CORE:0000023	human	Wikidata:Q5936837	Human	CORE:0000022	organism	Wikidata:Q134556	single	low	human			Wikidata:Q1145446|Wikidata:Q15949933|Wikidata:Q16870920|Wikidata:Q19320962|Wikidata:Q1993138|Wikidata:Q20629223|Wikidata:Q27921626|Wikidata:Q3044582|Wikidata:Q5|Wikidata:Q5936825|Wikidata:Q5936827|Wikidata:Q5936834|Wikidata:Q735359|Wikidata:Q823310|Wikidata:Q849189|Wikidata:Q919463|Wikidata:Q924827	Human|Human|Human|Human|Human|Human|Human|Human|human|Human|Human|Human|Human|human|Human|Human|Human	
CORE:0000023	human	Wikidata:Q735359	Human	CORE:0000022	organism	Wikidata:Q482994	album	low	human			Wikidata:Q1145446|Wikidata:Q15949933|Wikidata:Q16870920|Wikidata:Q19320962|Wikidata:Q1993138|Wikidata:Q20629223|Wikidata:Q27921626|Wikidata:Q3044582|Wikidata:Q5|Wikidata:Q5936825|Wikidata:Q5936827|Wikidata:Q5936834|Wikidata:Q5936837|Wikidata:Q823310|Wikidata:Q849189|Wikidata:Q919463|Wikidata:Q924827	Human|Human|Human|Human|Human|Human|Human|Human|human|Human|Human|Human|Human|human|Human|Human|Human	
CORE:0000023	human	Wikidata:Q823310	human	CORE:0000022	organism	Wikidata:Q15839082	Warcraft race	low	human			Wikidata:Q1145446|Wikidata:Q15949933|Wikidata:Q16870920|Wikidata:Q19320962|Wikidata:Q1993138|Wikidata:Q20629223|Wikidata:Q27921626|Wikidata:Q3044582|Wikidata:Q5|Wikidata:Q5936825|Wikidata:Q5936827|Wikidata:Q5936834|Wikidata:Q5936837|Wikidata:Q735359|Wikidata:Q849189|Wikidata:Q919463|Wikidata:Q924827	Human|Human|Human|Human|Human|Human|Human|Human|human|Human|Human|Human|Human|Human|Human|Human|Human	
CORE:0000023	human	Wikidata:Q849189	Human	CORE:0000022	organism	Wikidata:Q482994	album	low	human			Wikidata:Q1145446|Wikidata:Q15949933|Wikidata:Q16870920|Wikidata:Q19320962|Wikidata:Q1993138|Wikidata:Q20629223|Wikidata:Q27921626|Wikidata:Q3044582|Wikidata:Q5|Wikidata:Q5936825|Wikidata:Q5936827|Wikidata:Q5936834|Wikidata:Q5936837|Wikidata:Q735359|Wikidata:Q823310|Wikidata:Q919463|Wikidata:Q924827	Human|Human|Human|Human|Human|Human|Human|Human|human|Human|Human|Human|Human|Human|human|Human|Human	
CORE:0000023	human	Wikidata:Q919463	Human	CORE:0000022	organism	Wikidata:Q134556|Wikidata:Q7366	single|song	low	human			Wikidata:Q1145446|Wikidata:Q15949933|Wikidata:Q16870920|Wikidata:Q19320962|Wikidata:Q1993138|Wikidata:Q20629223|Wikidata:Q27921626|Wikidata:Q3044582|Wikidata:Q5|Wikidata:Q5936825|Wikidata:Q5936827|Wikidata:Q5936834|Wikidata:Q5936837|Wikidata:Q735359|Wikidata:Q823310|Wikidata:Q849189|Wikidata:Q924827	Human|Human|Human|Human|Human|Human|Human|Human|human|Human|Human|Human|Human|Human|human|Human|Human	
CORE:0000023	human	Wikidata:Q924827	Human	CORE:0000022	organism	Wikidata:Q24286894	fictional humanoid species	low	human			Wikidata:Q1145446|Wikidata:Q15949933|Wikidata:Q16870920|Wikidata:Q19320962|Wikidata:Q1993138|Wikidata:Q20629223|Wikidata:Q27921626|Wikidata:Q3044582|Wikidata:Q5|Wikidata:Q5936825|Wikidata:Q5936827|Wikidata:Q5936834|Wikidata:Q5936837|Wikidata:Q735359|Wikidata:Q823310|Wikidata:Q849189|Wikidata:Q919463	Human|Human|Human|Human|Human|Human|Human|Human|human|Human|Human|Human|Human|Human|human|Human|Human	
CORE:0000025	organization	Wikidata:Q20192914	Organization	CORE:0000006	material entity	Wikidata:Q3305213	painting	low	organization			Wikidata:Q2029841|Wikidata:Q33771005|Wikidata:Q43229|Wikidata:Q57766779|Wikidata:Q7101933	organization|Organization|organization|Organization|Organization	CORE:0000022
CORE:0000025	organization	Wikidata:Q2029841	organization	CORE:0000006	material entity	Wikidata:Q151885	concept	low	organization			Wikidata:Q20192914|Wikidata:Q33771005|Wikidata:Q43229|Wikidata:Q57766779|Wikidata:Q7101933	Organization|Organization|organization|Organization|Organization	CORE:0000022
CORE:0000025	organization	Wikidata:Q33771005	Organization	CORE:0000006	material entity	Wikidata:Q35760	essay	low	organization			Wikidata:Q20192914|Wikidata:Q2029841|Wikidata:Q43229|Wikidata:Q57766779|Wikidata:Q7101933	Organization|organization|organization|Organization|Organization	CORE:0000022
CORE:0000025	organization	Wikidata:Q43229	organization	CORE:0000006	material entity			low	organization			Wikidata:Q20192914|Wikidata:Q2029841|Wikidata:Q33771005|Wikidata:Q57766779|Wikidata:Q7101933	Organization|organization|Organization|Organization|Organization	CORE:0000022
CORE:0000025	organization	Wikidata:Q57766779	Organization	CORE:0000006	material entity	Wikidata:Q13442814	scholarly article	low	organization			Wikidata:Q20192914|Wikidata:Q2029841|Wikidata:Q33771005|Wikidata:Q43229|Wikidata:Q7101933	Organization|organization|Organization|organization|Organization	CORE:0000022
CORE:0000025	organization	Wikidata:Q7101933	Organization	CORE:0000006	material entity	Wikidata:Q5633421	scientific journal	low	organization			Wikidata:Q20192914|Wikidata:Q2029841|Wikidata:Q33771005|Wikidata:Q43229|Wikidata:Q57766779	Organization|organization|Organization|organization|Organization	CORE:0000022
CORE:0000027	instrument	Wikidata:Q12125106	Instrument	CORE:0000026	processed material entity	Wikidata:Q11424	film	low	instrument			Wikidata:Q17508154|Wikidata:Q225829	Instrument|Instrument	
CORE:0000027	instrument	Wikidata:Q17508154	Instrument	CORE:0000026	processed material entity	Wikidata:Q482994	album	low	instrument			Wikidata:Q12125106|Wikidata:Q225829	Instrument|Instrument	
CORE:0000027	instrument	Wikidata:Q225829	Instrument	CORE:0000026	processed material entity	Wikidata:Q4167410	Wikimedia disambiguation page	low	instrument			Wikidata:Q12125106|Wikidata:Q17508154	Instrument|Instrument	
CORE:0000028	reagent	Wikidata:Q244755	Reagent	CORE:0000026	processed material entity	Wikidata:Q4167410	Wikimedia disambiguation page	low	reagent			Wikidata:Q56656700	reagent	
CORE:0000028	reagent	Wikidata:Q56656700	reagent	CORE:0000026	processed material entity	Wikidata:Q13442814	scholarly article	low	reagent			Wikidata:Q244755	Reagent	
CORE:0000029	vaccine	Wikidata:Q2379469	Vaccine	CORE:0000026	processed material entity	Wikidata:Q5	human	low	vaccine			Wikidata:Q7907941	Vaccine	
CORE:0000029	vaccine	Wikidata:Q7907941	Vaccine	CORE:0000026	processed material entity	Wikidata:Q5633421|Wikidata:Q5953270	scientific journal|hybrid open access journal	low	vaccine			Wikidata:Q2379469	Vaccine	
CORE:0000034	process	Wikidata:Q11827372	Process			Wikidata:Q5741069	rock band	low	process			Wikidata:Q12047071|Wikidata:Q14912519|Wikidata:Q20200607|Wikidata:Q25394002|Wikidata:Q30597847|Wikidata:Q33059495|Wikidata:Q3406353|Wikidata:Q37535167|Wikidata:Q42186244|Wikidata:Q7247233|Wikidata:Q7247234	Process|Process|Process|Process|Process|process|Process|Process|Process|Process|Process	
CORE:0000034	process	Wikidata:Q12047071	Process			Wikidata:Q4176708	soundtrack album	low	process			Wikidata:Q11827372|Wikidata:Q14912519|Wikidata:Q20200607|Wikidata:Q25394002|Wikidata:Q30597847|Wikidata:Q33059495|Wikidata:Q3406353|Wikidata:Q37535167|Wikidata:Q42186244|Wikidata:Q7247233|Wikidata:Q7247234	Process|Process|Process|Process|Process|process|Process|Process|Process|Process|Process	
CORE:0000034	process	Wikidata:Q14912519	Process			Wikidata:Q11424	film	low	process			Wikidata:Q11827372|Wikidata:Q12047071|Wikidata:Q20200607|Wikidata:Q25394002|Wikidata:Q30597847|Wikidata:Q33059495|Wikidata:Q3406353|Wikidata:Q37535167|Wikidata:Q42186244|Wikidata:Q7247233|Wikidata:Q7247234	Process|Process|Process|Process|Process|process|Process|Process|Process|Process|Process	
CORE:0000034	process	Wikidata:Q20200607	Process			Wikidata:Q93184	drawing	low	process			Wikidata:Q11827372|Wikidata:Q12047071|Wikidata:Q14912519|Wikidata:Q25394002|Wikidata:Q30597847|Wikidata:Q33059495|Wikidata:Q3406353|Wikidata:Q37535167|Wikidata:Q42186244|Wikidata:Q7247233|Wikidata:Q7247234	Process|Process|Process|Process|Process|process|Process|Process|Process|Process|Process	
CORE:0000034	process	Wikidata:Q25394002	Process			Wikidata:Q7725634	literary work	low	process			Wikidata:Q11827372|Wikidata:Q12047071|Wikidata:Q14912519|Wikidata:Q20200607|Wikidata:Q30597847|Wikidata:Q33059495|Wikidata:Q3406353|Wikidata:Q37535167|Wikidata:Q42186244|Wikidata:Q7247233|Wikidata:Q7247234	Process|Process|Process|Process|Process|process|Process|Process|Process|Process|Process	
CORE:0000034	process	Wikidata:Q30597847	Process			Wikidata:Q208569	studio album	low	process			Wikidata:Q11827372|Wikidata:Q12047071|Wikidata:Q14912519|Wikidata:Q20200607|Wikidata:Q25394002|Wikidata:Q33059495|Wikidata:Q3406353|Wikidata:Q37535167|Wikidata:Q42186244|Wikidata:Q7247233|Wikidata:Q7247234	Process|Process|Process|Process|Process|process|Process|Process|Process|Process|Process	
CORE:0000034	process	Wikidata:Q33059495	process			Wikidata:Q1969448	term	low	process			Wikidata:Q11827372|Wikidata:Q12047071|Wikidata:Q14912519|Wikidata:Q20200607|Wikidata:Q25394002|Wikidata:Q30597847|Wikidata:Q3406353|Wikidata:Q37535167|Wikidata:Q42186244|Wikidata:Q7247233|Wikidata:Q7247234	Process|Process|Process|Process|Process|Process|Process|Process|Process|Process|Process	
CORE:0000034	process	Wikidata:Q3406353	Process			Wikidata:Q482994	album	low	process			Wikidata:Q11827372|Wikidata:Q12047071|Wikidata:Q14912519|Wikidata:Q20200607|Wikidata:Q25394002|Wikidata:Q30597847|Wikidata:Q33059495|Wikidata:Q37535167|Wikidata:Q42186244|Wikidata:Q7247233|Wikidata:Q7247234	Process|Process|Process|Process|Process|Process|process|Process|Process|Process|Process	
CORE:0000034	process	Wikidata:Q37535167	Process			Wikidata:Q101352	family name	low	process			Wikidata:Q11827372|Wikidata:Q12047071|Wikidata:Q14912519|Wikidata:Q20200607|Wikidata:Q25394002|Wikidata:Q30597847|Wikidata:Q33059495|Wikidata:Q3406353|Wikidata:Q42186244|Wikidata:Q7247233|Wikidata:Q7247234	Process|Process|Process|Process|Process|Process|process|Process|Process|Process|Process	
CORE:0000034	process	Wikidata:Q42186244	Process			Wikidata:Q8261	novel	low	process			Wikidata:Q11827372|Wikidata:Q12047071|Wikidata:Q14912519|Wikidata:Q20200607|Wikidata:Q25394002|Wikidata:Q30597847|Wikidata:Q33059495|Wikidata:Q3406353|Wikidata:Q37535167|Wikidata:Q7247233|Wikidata:Q7247234	Process|Process|Process|Process|Process|Process|process|Process|Process|Process|Process	
CORE:0000034	process	Wikidata:Q7247233	Process			Wikidata:Q482994	album	low	process			Wikidata:Q11827372|Wikidata:Q12047071|Wikidata:Q14912519|Wikidata:Q20200607|Wikidata:Q25394002|Wikidata:Q30597847|Wikidata:Q33059495|Wikidata:Q3406353|Wikidata:Q37535167|Wikidata:Q42186244|Wikidata:Q7247234	Process|Process|Process|Process|Process|Process|process|Process|Process|Process|Process	
CORE:0000034	process	Wikidata:Q7247234	Process			Wikidata:Q40056	computer program	low	process			Wikidata:Q11827372|Wikidata:Q12047071|Wikidata:Q14912519|Wikidata:Q20200607|Wikidata:Q25394002|Wikidata:Q30597847|Wikidata:Q33059495|Wikidata:Q3406353|Wikidata:Q37535167|Wikidata:Q42186244|Wikidata:Q7247233	Process|Process|Process|Process|Process|Process|process|Process|Process|Process|Process	
CORE:0000037	biological process	Wikidata:Q2996394	biological process	CORE:0000034	process			high	biological process					
CORE:0000052	adenine	Wikidata:Q15277	adenine	CORE:0000051	nucleotide	Wikidata:Q11173|Wikidata:Q12140	chemical compound|medication	low	adenine			Wikidata:Q355968	adenine	
CORE:0000052	adenine	Wikidata:Q355968	adenine	CORE:0000051	nucleotide	Wikidata:Q9143	programming language	low	adenine			Wikidata:Q15277	adenine	
CORE:0000053	guanine	Wikidata:Q169313	guanine	CORE:0000051	nucleotide	Wikidata:Q11173	chemical compound	low	guanine			Wikidata:Q3778218	guanine	
CORE:0000053	guanine	Wikidata:Q3778218	guanine	CORE:0000051	nucleotide	Wikidata:Q12089225	mineral species	low	guanine			Wikidata:Q169313	guanine	
CORE:0000054	salicylic acid	Wikidata:Q193572	salicylic acid	CORE:0000013	molecular entity	Wikidata:Q11173|Wikidata:Q12140|Wikidata:Q35456	chemical compound|medication|essential medicine	low	salicylic acid			Wikidata:Q28453506	Salicylic acid	
CORE:0000054	salicylic acid	Wikidata:Q28453506	Salicylic acid	CORE:0000013	molecular entity	Wikidata:Q35456	essential medicine	low	salicylic acid			Wikidata:Q193572	salicylic acid	
CORE:0000060	tumor	Wikidata:Q14753271	Tumor	CORE:0000021	gross anatomical part	Wikidata:Q16521	taxon	low	tumor			Wikidata:Q31537161|Wikidata:Q37752422|Wikidata:Q7852670	Tumor|Tumor|Tumor	
CORE:0000060	tumor	Wikidata:Q31537161	Tumor	CORE:0000021	gross anatomical part	Wikidata:Q8502	mountain	low	tumor			Wikidata:Q14753271|Wikidata:Q37752422|Wikidata:Q7852670	Tumor|Tumor|Tumor	
CORE:0000060	tumor	Wikidata:Q37752422	Tumor	CORE:0000021	gross anatomical part	Wikidata:Q4022	river	low	tumor			Wikidata:Q14753271|Wikidata:Q31537161|Wikidata:Q7852670	Tumor|Tumor|Tumor	
CORE:0000060	tumor	Wikidata:Q7852670	Tumor	CORE:0000021	gross anatomical part	Wikidata:Q725377	graphic novel	low	tumor			Wikidata:Q14753271|Wikidata:Q31537161|Wikidata:Q37752422	Tumor|Tumor|Tumor	
CORE:0000061	information	Wikidata:Q12858561	Information			Wikidata:Q482994	album	low	information			Wikidata:Q15813963|Wikidata:Q15817266|Wikidata:Q18351474|Wikidata:Q18748371|Wikidata:Q26707477|Wikidata:Q52593763|Wikidata:Q6030644|Wikidata:Q6030648	Information|Information|Information|Information|Information|Information|Information|Information	
CORE:0000061	information	Wikidata:Q15813963	Information			Wikidata:Q5633421	scientific journal	low	information			Wikidata:Q12858561|Wikidata:Q15817266|Wikidata:Q18351474|Wikidata:Q18748371|Wikidata:Q26707477|Wikidata:Q52593763|Wikidata:Q6030644|Wikidata:Q6030648	Information|Information|Information|Information|Information|Information|Information|Information	
CORE:0000061	information	Wikidata:Q15817266	Information			Wikidata:Q5633421	scientific journal	low	information			Wikidata:Q12858561|Wikidata:Q15813963|Wikidata:Q18351474|Wikidata:Q18748371|Wikidata:Q26707477|Wikidata:Q52593763|Wikidata:Q6030644|Wikidata:Q6030648	Information|Information|Information|Information|Information|Information|Information|Information	
CORE:0000061	information	Wikidata:Q18351474	Information			Wikidata:Q482994	album	low	information			Wikidata:Q12858561|Wikidata:Q15813963|Wikidata:Q15817266|Wikidata:Q18748371|Wikidata:Q26707477|Wikidata:Q52593763|Wikidata:Q6030644|Wikidata:Q6030648	Information|Information|Information|Information|Information|Information|Information|Information	
CORE:0000061	information	Wikidata:Q18748371	Information			Wikidata:Q3305213	painting	low	information			Wikidata:Q12858561|Wikidata:Q15813963|Wikidata:Q15817266|Wikidata:Q18351474|Wikidata:Q26707477|Wikidata:Q52593763|Wikidata:Q6030644|Wikidata:Q6030648	Information|Information|Information|Information|Information|Information|Information|Information	
CORE:0000061	information	Wikidata:Q26707477	Information			Wikidata:Q208569	studio album	low	information			Wikidata:Q12858561|Wikidata:Q15813963|Wikidata:Q15817266|Wikidata:Q18351474|Wikidata:Q18748371|Wikidata:Q52593763|Wikidata:Q6030644|Wikidata:Q6030648	Information|Information|Information|Information|Information|Information|Information|Information	
CORE:0000061	information	Wikidata:Q52593763	Information			Wikidata:Q667276	art exhibition	low	information			Wikidata:Q12858561|Wikidata:Q15813963|Wikidata:Q15817266|Wikidata:Q18351474|Wikidata:Q18748371|Wikidata:Q26707477|Wikidata:Q6030644|Wikidata:Q6030648	Information|Information|Information|Information|Information|Information|Information|Information	
CORE:0000061	information	Wikidata:Q6030644	Information			Wikidata:Q482994	album	low	information			Wikidata:Q12858561|Wikidata:Q15813963|Wikidata:Q15817266|Wikidata:Q18351474|Wikidata:Q18748371|Wikidata:Q26707477|Wikidata:Q52593763|Wikidata:Q6030648	Information|Information|Information|Information|Information|Information|Information|Information	
CORE:0000061	information	Wikidata:Q6030648	Information			Wikidata:Q482994	album	low	information			Wikidata:Q12858561|Wikidata:Q15813963|Wikidata:Q15817266|Wikidata:Q18351474|Wikidata:Q18748371|Wikidata:Q26707477|Wikidata:Q52593763|Wikidata:Q6030644	Information|Information|Information|Information|Information|Information|Information|Information	
CORE:0000067	ecosystem	Wikidata:Q11198207	ecosystem	CORE:0000006	material entity	Wikidata:Q215380	band	low	ecosystem			Wikidata:Q37813	ecosystem	
CORE:0000067	ecosystem	Wikidata:Q37813	ecosystem	CORE:0000006	material entity	Wikidata:Q101998	biome	low	ecosystem			Wikidata:Q11198207	ecosystem	
