?x	?xl
<http://purl.obolibrary.org/obo/ENVO_01001122>	"gas planet"@en
<http://purl.obolibrary.org/obo/ENVO_01001306>	"bone element environment"
<http://purl.obolibrary.org/obo/ENVO_01000307>	"saline water environment"
<http://purl.obolibrary.org/obo/ENVO_01001141>	"carbon monoxide ice"@en
<http://purl.obolibrary.org/obo/ENVO_00005740>	"paddy field soil"
<http://purl.obolibrary.org/obo/ENVO_09200003>	"atmospheric wind intensity"
<http://purl.obolibrary.org/obo/ENVO_01000254>	"environmental system"
<http://purl.obolibrary.org/obo/ENVO_01000000>	"humus"
<http://purl.obolibrary.org/obo/ENVO_02000095>	"uranium ore"
<http://purl.obolibrary.org/obo/ENVO_01000776>	"piece of plastic"@en
<http://purl.obolibrary.org/obo/ENVO_02000124>	"lead paint"
<http://purl.obolibrary.org/obo/ENVO_00002251>	"planosol"
<http://purl.obolibrary.org/obo/ENVO_00001995>	"rock"
<http://purl.obolibrary.org/obo/ENVO_00000392>	"ice tongue"
<http://purl.obolibrary.org/obo/ENVO_00005746>	"savanna soil"
<http://purl.obolibrary.org/obo/ENVO_09000014>	"amount of nitrogen atom in soil"
<http://purl.obolibrary.org/obo/ENVO_04000004>	"concentration of carbon dioxide in air"@en
<http://purl.obolibrary.org/obo/ENVO_09200009>	"structure of soil"
<http://purl.obolibrary.org/obo/ENVO_01001393>	"Bathymodiolus gill tissue material"@en
<http://purl.obolibrary.org/obo/ENVO_03000088>	"methane-laden permafrost"@en
<http://purl.obolibrary.org/obo/ENVO_00005781>	"heat stressed soil"
<http://purl.obolibrary.org/obo/ENVO_03500010>	"shady environment"@en
<http://purl.obolibrary.org/obo/ENVO_01000301>	"estuarine water"
<http://purl.obolibrary.org/obo/ENVO_02000026>	"chyme material"
<http://purl.obolibrary.org/obo/ENVO_00002138>	"beach sand"
<http://purl.obolibrary.org/obo/ENVO_01001043>	"hypersaline water environment"@en
<http://purl.obolibrary.org/obo/ENVO_3200045>	"concentration of gadolinium in snow"
<http://purl.obolibrary.org/obo/ENVO_01000342>	"montane"
<http://purl.obolibrary.org/obo/ENVO_01000271>	"clastic sedimentary rock"
<http://purl.obolibrary.org/obo/ENVO_01001188>	"holothurian digestive tract contents"@en
<http://purl.obolibrary.org/obo/ENVO_00005787>	"eucalyptus forest soil"
<http://purl.obolibrary.org/obo/ENVO_01001232>	"sapropelic kerogen"@en
<http://purl.obolibrary.org/obo/ENVO_01001844>	"ocean surface stress"@en
<http://purl.obolibrary.org/obo/ENVO_01001113>	"forage material"@en
<http://purl.obolibrary.org/obo/ENVO_01000770>	"carbon dioxide emission"@en
