?x	?xl
<http://purl.obolibrary.org/obo/ENVO_3200026>	"concentration of gadolinium in water ice"
<http://purl.obolibrary.org/obo/ENVO_3200009>	"concentration of lithium in lake water"
<http://purl.obolibrary.org/obo/ENVO_09000019>	"concentration of chloride in water"
<http://purl.obolibrary.org/obo/ENVO_3100033>	"pressure of water"
<http://purl.obolibrary.org/obo/ENVO_3200020>	"concentration of yttrium in lake water"
<http://purl.obolibrary.org/obo/ENVO_3100005>	"concentration of bacteriochlorophyll a in liquid water"
<http://purl.obolibrary.org/obo/ENVO_3200018>	"concentration of tin in lake water"
<http://purl.obolibrary.org/obo/ENVO_01001361>	"atmospheric wind direction"@en
<http://purl.obolibrary.org/obo/ENVO_3200051>	"concentration of niobium in snow"
<http://purl.obolibrary.org/obo/ENVO_3200059>	"concentration of urea in liquid water"
<http://purl.obolibrary.org/obo/ENVO_09200010>	"acidity of soil"
<http://purl.obolibrary.org/obo/ENVO_01001858>	"cloud cover"@en
<http://purl.obolibrary.org/obo/ENVO_3200012>	"concentration of neodymium in lake water"
<http://purl.obolibrary.org/obo/ENVO_09200016>	"conductivity of soil"
<http://purl.obolibrary.org/obo/ENVO_3100014>	"concentration of fucoxanthin in liquid water"
<http://purl.obolibrary.org/obo/ENVO_03000096>	"season"@en
<http://purl.obolibrary.org/obo/ENVO_3200030>	"concentration of molybdenum in water ice"
<http://purl.obolibrary.org/obo/ENVO_09200008>	"composition of soil"
<http://purl.obolibrary.org/obo/ENVO_3100015>	"concentration of Guanosine 5-triphosphate in liquid water"
<http://purl.obolibrary.org/obo/ENVO_3200021>	"concentration of bromine in water ice"
<http://purl.obolibrary.org/obo/ENVO_01001164>	"geodiversity"@en
<http://purl.obolibrary.org/obo/ENVO_3100034>	"concentration of silicic acid in liquid water"
<http://purl.obolibrary.org/obo/ENVO_3200027>	"concentration of lanthanum in water ice"
<http://purl.obolibrary.org/obo/ENVO_3100006>	"concentration of beta-carotene in liquid water"
<http://purl.obolibrary.org/obo/ENVO_3100024>	"concentration of nitrous oxide in liquid water"
<http://purl.obolibrary.org/obo/ENVO_00010483>	"environmental material"
<http://purl.obolibrary.org/obo/ENVO_3200019>	"concentration of titanium in lake water"
<http://purl.obolibrary.org/obo/ENVO_01001686>	"mass of environmental material"@en
<http://purl.obolibrary.org/obo/ENVO_09000010>	"solubility of nitrogen atom in environmental material"
<http://purl.obolibrary.org/obo/ENVO_01001362>	"atmospheric wind speed"@en
<http://purl.obolibrary.org/obo/ENVO_09200011>	"pressure of air"
<http://purl.obolibrary.org/obo/ENVO_3200041>	"concentration of cerium in snow"
<http://purl.obolibrary.org/obo/ENVO_09200017>	"composition of water"
<http://purl.obolibrary.org/obo/ENVO_3200037>	"concentration of tin in water ice"
<http://purl.obolibrary.org/obo/ENVO_03000123>	"concentration of nitrate and nitrite in liquid water"@en
<http://purl.obolibrary.org/obo/ENVO_3200031>	"concentration of neodymium in water ice"
<http://purl.obolibrary.org/obo/ENVO_3100016>	"concentration of hydrogen peroxide in liquid water"
<http://purl.obolibrary.org/obo/ENVO_3200022>	"concentration of cerium in water ice"
<http://purl.obolibrary.org/obo/ENVO_3200028>	"concentration of lithium in water ice"
<http://purl.obolibrary.org/obo/ENVO_3100007>	"concentration of carotene in liquid water"
<http://purl.obolibrary.org/obo/ENVO_01001303>	"environmental role"
<http://purl.obolibrary.org/obo/ENVO_3100025>	"concentration of peridinin in liquid water"
<http://purl.obolibrary.org/obo/ENVO_3200040>	"concentration of bromine in snow"
<http://purl.obolibrary.org/obo/ENVO_09100001>	"dissolved carbon atom in environmental material"
<http://purl.obolibrary.org/obo/ENVO_3200042>	"concentration of cobalt in snow"
<http://purl.obolibrary.org/obo/ENVO_09200018>	"conductivity of water"
<http://purl.obolibrary.org/obo/ENVO_01001363>	"volume of hydrological precipitation"@en
<http://purl.obolibrary.org/obo/ENVO_3100027>	"concentration of silicate(4-) in liquid water"
<http://purl.obolibrary.org/obo/ENVO_09000001>	"solubility of carbon atom in environmental material"
<http://purl.obolibrary.org/obo/ENVO_3200032>	"concentration of niobium in water ice"
<http://purl.obolibrary.org/obo/ENVO_3200038>	"concentration of titanium in water ice"
<http://purl.obolibrary.org/obo/ENVO_3100017>	"concentration of hydrogen sulfide in liquid water"
<http://purl.obolibrary.org/obo/ENVO_3100036>	"concentration of chlorophyll in liquid water"
<http://purl.obolibrary.org/obo/ENVO_02000055>	"plant feed"
<http://purl.obolibrary.org/obo/ENVO_3200029>	"concentration of methanesulfonic acid in water ice"
<http://purl.obolibrary.org/obo/ENVO_01001469>	"observing system"@en
<http://purl.obolibrary.org/obo/ENVO_3100030>	"acidity of water"
<http://purl.obolibrary.org/obo/ENVO_01001606>	"speed of a water current"@en
<http://purl.obolibrary.org/obo/ENVO_3200023>	"concentration of cobalt in water ice"
<http://purl.obolibrary.org/obo/ENVO_3100008>	"concentration of chlorophyll a in liquid water"
<http://purl.obolibrary.org/obo/ENVO_3200002>	"concentration of bromine in lake water"
<http://purl.obolibrary.org/obo/ENVO_3200043>	"concentration of dysprosium in snow"
<http://purl.obolibrary.org/obo/ENVO_3100026>	"concentration of phosphate in liquid water"
<http://purl.obolibrary.org/obo/ENVO_3200049>	"concentration of molybdenum in snow"
<http://purl.obolibrary.org/obo/ENVO_01001667>	"thalassic"@en
<http://purl.obolibrary.org/obo/ENVO_3100028>	"concentration of violaxanthin in liquid water"
<http://purl.obolibrary.org/obo/ENVO_3200033>	"concentration of praseodymium in water ice"
<http://purl.obolibrary.org/obo/ENVO_3200039>	"concentration of yttrium in water ice"
<http://purl.obolibrary.org/obo/ENVO_3200053>	"concentration of samarium in snow"
<http://purl.obolibrary.org/obo/ENVO_3200024>	"concentration of dysprosium in water ice"
<http://purl.obolibrary.org/obo/ENVO_01001374>	"sea state"@en
<http://purl.obolibrary.org/obo/ENVO_3200003>	"concentration of cerium in lake water"
<http://purl.obolibrary.org/obo/ENVO_09000013>	"amount of nitrogen atom in environmental material"
<http://purl.obolibrary.org/obo/ENVO_04000003>	"concentration of carbon dioxide in soil"@en
<http://purl.obolibrary.org/obo/ENVO_3100009>	"concentration of chlorophyll b in liquid water"
<http://purl.obolibrary.org/obo/ENVO_3200044>	"concentration of europium in snow"
<http://purl.obolibrary.org/obo/ENVO_09200002>	"environmental system process quality"
<http://purl.obolibrary.org/obo/ENVO_3100029>	"concentration of zeaxanthin in liquid water"
<http://purl.obolibrary.org/obo/ENVO_01001621>	"englacial"@en
<http://purl.obolibrary.org/obo/ENVO_01001187>	"holothurian digestive tract"@en
