?x	?xl
<http://purl.obolibrary.org/obo/CP_0000028>	"basophilic cytoplasm"
<http://purl.obolibrary.org/obo/CP_0000000>	"neutrophillic cytoplasm"
<http://purl.obolibrary.org/obo/GO_0043379>	"memory T cell differentiation"
<http://purl.obolibrary.org/obo/CP_0000043>	"cartwheel heterochromatin"
<http://purl.obolibrary.org/obo/GO_0032634>	"interleukin-5 production"
<http://purl.obolibrary.org/obo/PATO_0045026>	"normal life span"
<http://purl.obolibrary.org/obo/CP_0000035>	"polychromatophilic cytoplasm"
<http://purl.obolibrary.org/obo/CP_0000027>	"acidophilic cytoplasm"
