?x	?xl
<http://purl.obolibrary.org/obo/FBbt_00110192>	"pupal nervous system"
<http://purl.obolibrary.org/obo/FBbt_00049172>	"abdominal 1 neuroblast NB3-5"
<http://purl.obolibrary.org/obo/FBbt_00057148>	"primary spermatocyte in meiotic telophase I"
<http://purl.obolibrary.org/obo/FBbt_00003961>	"antennal lobe glomerulus DC1"
<http://purl.obolibrary.org/obo/FBbt_00110307>	"transverse nerve root of A1-7"
<http://purl.obolibrary.org/obo/FBbt_00000424>	"embryonic/larval posterior spiracle"
<http://purl.obolibrary.org/obo/FBbt_00110792>	"presumptive metathoracic trochanter sensillum trichodeum 2GSt"
<http://purl.obolibrary.org/obo/FBbt_00100257>	"mushroom body alpha lobe surface layer"
<http://purl.obolibrary.org/obo/FBbt_00047181>	"embryonic/larval midgut enterocyte"
<http://purl.obolibrary.org/obo/FBbt_00004218>	"rhabdomere R3"
<http://purl.obolibrary.org/obo/FBbt_00110817>	"presumptive distal rostral sensillum"
<http://purl.obolibrary.org/obo/FBbt_00110692>	"presumptive oviduct"
<http://purl.obolibrary.org/obo/FBbt_00048494>	"larval subesophageal sensory compartment AVp"
<http://purl.obolibrary.org/obo/FBbt_00001413>	"neuroblast NB2-4 of abdomen"
<http://purl.obolibrary.org/obo/FBbt_00003490>	"abdominal 4 spiracular muscle 124"
<http://purl.obolibrary.org/obo/FBbt_10005342>	"cephalic vascular primordium"
<http://purl.obolibrary.org/obo/FBbt_00100560>	"neuroblast BAla4"
<http://purl.obolibrary.org/obo/FBbt_00005842>	"Pad1 neuroblast"
<http://purl.obolibrary.org/obo/FBbt_00007618>	"abdominal segment 6 anterior compartment"
<http://purl.obolibrary.org/obo/FBbt_00004500>	"adult tentorium"
<http://purl.obolibrary.org/obo/FBbt_00100617>	"neuroblast BLAd4"
<http://purl.obolibrary.org/obo/FBbt_00047137>	"wing neuropil"
<http://purl.obolibrary.org/obo/FBbt_00006020>	"lch5 cap attachment cell"
<http://purl.obolibrary.org/obo/FBbt_00001313>	"lateral interface glial cell"
<http://purl.obolibrary.org/obo/FBbt_00111028>	"larval abdominal neuromere"
<http://purl.obolibrary.org/obo/FBbt_00057009>	"head cyst cell"
<http://purl.obolibrary.org/obo/FBbt_00005930>	"Ppd4 neuroblast"
<http://purl.obolibrary.org/obo/FBbt_00005881>	"Pcd11 neuroblast"
<http://purl.obolibrary.org/obo/FBbt_00110653>	"adult labro-frontal nerve"
<http://purl.obolibrary.org/obo/FBbt_00004487>	"antennal foramen"
<http://purl.obolibrary.org/obo/FBbt_00000237>	"lateral trunk anterior branch 4"
