?x	?xl
<http://purl.obolibrary.org/obo/PO_0007002>	"IE.03 3/4 of inflorescence emerged from flag leaf sheath stage"
<http://purl.obolibrary.org/obo/PO_0006058>	"cotyledon adaxial epidermis"
<http://purl.obolibrary.org/obo/PO_0007095>	"LP.08 eight leaves visible stage"
<http://purl.obolibrary.org/obo/PO_0025183>	"leaf stomatal complex"
<http://purl.obolibrary.org/obo/PO_0030053>	"antheridium jacket layer"
<http://purl.obolibrary.org/obo/PO_0020021>	"integument"
<http://purl.obolibrary.org/obo/PO_0007045>	"coleoptile emergence stage"
<http://purl.obolibrary.org/obo/PO_0006488>	"silk"
<http://purl.obolibrary.org/obo/PO_0000207>	"nectary epidermis"
<http://purl.obolibrary.org/obo/PO_0025404>	"phyllome marginal meristem"
<http://purl.obolibrary.org/obo/PO_0001004>	"anther development stage"
<http://purl.obolibrary.org/obo/PO_0025034>	"leaf"
<http://purl.obolibrary.org/obo/PO_0004540>	"fruit columella"
<http://purl.obolibrary.org/obo/PO_0006044>	"inner integument epidermis"
<http://purl.obolibrary.org/obo/PO_0007081>	"early rosette growth stage"
<http://purl.obolibrary.org/obo/PO_0006315>	"lower floret of sessile spikelet of tassel"
<http://purl.obolibrary.org/obo/PO_0007016>	"whole plant flowering stage"
<http://purl.obolibrary.org/obo/PO_0006437>	"lower glume of pedicellate spikelet of ear"
<http://purl.obolibrary.org/obo/PO_0004548>	"aerial tuber"
<http://purl.obolibrary.org/obo/PO_0001047>	"lemma development stage"
<http://purl.obolibrary.org/obo/PO_0005046>	"periderm"
<http://purl.obolibrary.org/obo/PO_0009062>	"gynoecium"
<http://purl.obolibrary.org/obo/PO_0009007>	"portion of plant tissue"
<http://purl.obolibrary.org/obo/PO_0001071>	"fully expanded palea stage"
<http://purl.obolibrary.org/obo/PO_0005415>	"endosperm parenchyma"
<http://purl.obolibrary.org/obo/PO_0025377>	"plant embryo dormant stage"
<http://purl.obolibrary.org/obo/PO_0000051>	"petiole epidermis"
<http://purl.obolibrary.org/obo/PO_0007052>	"FL.03 3/4 of flowers open stage"
<http://purl.obolibrary.org/obo/PO_0025490>	"plant ovary ovule"
<http://purl.obolibrary.org/obo/PO_0025425>	"xylem development stage"
<http://purl.obolibrary.org/obo/PO_0001031>	"4 root elongation stage"
<http://purl.obolibrary.org/obo/PO_0021004>	"inflorescence initiation stage"
<http://purl.obolibrary.org/obo/PO_0007111>	"SE.12 twelve nodes or internodes visible stage"
<http://purl.obolibrary.org/obo/PO_0000044>	"prop root"
<http://purl.obolibrary.org/obo/PO_0007511>	"lateral root primordium formation stage"
<http://purl.obolibrary.org/obo/PO_0008021>	"tertiary leaf vein"
<http://purl.obolibrary.org/obo/PO_0007613>	"stamen primordium visible stage"
<http://purl.obolibrary.org/obo/PO_0009078>	"pistillode"
<http://purl.obolibrary.org/obo/PO_0025101>	"branch internode elongation zone"
<http://purl.obolibrary.org/obo/PO_0007119>	"LP.16 sixteen leaves visible stage"
<http://purl.obolibrary.org/obo/PO_0025581>	"fused corolla"
<http://purl.obolibrary.org/obo/PO_0025227>	"tetrad of megaspores"
