?x	?xl
<http://purl.obolibrary.org/obo/ENVO_01000323>	"atmospheric boundary layer"
<http://purl.obolibrary.org/obo/GO_0004872>	"receptor activity"
<http://purl.obolibrary.org/obo/PECO_0007359>	"plant experimental condition"
