x,xl
http://purl.obolibrary.org/obo/UBERON_0001837,duct of salivary gland
http://purl.obolibrary.org/obo/UBERON_0010844,clavicle pre-cartilage condensation
http://purl.obolibrary.org/obo/UBERON_0004879,marginal zone of embryo
http://purl.obolibrary.org/obo/UBERON_0002073,hair follicle
http://purl.obolibrary.org/obo/UBERON_0005903,duct of seminal vesicle
http://purl.obolibrary.org/obo/UBERON_0011092,right pelvic girdle region
http://purl.obolibrary.org/obo/UBERON_0003546,distal convoluted tubule macula densa
http://purl.obolibrary.org/obo/UBERON_0001133,cardiac muscle tissue
http://purl.obolibrary.org/obo/UBERON_0004335,proximal phalanx of pedal digit 4
http://purl.obolibrary.org/obo/UBERON_0012378,muscle layer of urinary bladder
http://purl.obolibrary.org/obo/UBERON_0010240,zygomatic gland
http://purl.obolibrary.org/obo/UBERON_0015099,distal tarsal endochondral element
http://purl.obolibrary.org/obo/UBERON_2002280,pectoral fin distal radial bone 3
http://purl.obolibrary.org/obo/UBERON_0001944,pretectal region
http://purl.obolibrary.org/obo/UBERON_0001767,posterior chamber of eyeball
http://purl.obolibrary.org/obo/UBERON_0022317,olfactory cortex layer 1
http://purl.obolibrary.org/obo/UBERON_0004354,male inguinal canal
http://purl.obolibrary.org/obo/UBERON_0005983,heart layer
http://purl.obolibrary.org/obo/UBERON_4000115,mineralized bone tissue
http://purl.obolibrary.org/obo/UBERON_2000397,nucleus subglomerulosis
http://purl.obolibrary.org/obo/UBERON_0003619,aorta tunica intima
http://purl.obolibrary.org/obo/UBERON_2000485,central nucleus inferior lobe
http://purl.obolibrary.org/obo/UBERON_0006641,appendix epididymis
http://purl.obolibrary.org/obo/UBERON_0015101,distal tarsal bone pre-cartilage condensation
http://purl.obolibrary.org/obo/UBERON_0009888,Koller's sickle
http://purl.obolibrary.org/obo/UBERON_0035876,primary somatosensory area barrel field layer 6a
http://purl.obolibrary.org/obo/UBERON_0001628,posterior communicating artery
http://purl.obolibrary.org/obo/UBERON_0007318,saphenous vein
http://purl.obolibrary.org/obo/UBERON_0004449,cerebral artery
http://purl.obolibrary.org/obo/UBERON_0003478,vein of lower lip
http://purl.obolibrary.org/obo/UBERON_0001529,brachiocephalic artery
http://purl.obolibrary.org/obo/UBERON_0012307,anterior cervical lymph node
http://purl.obolibrary.org/obo/UBERON_0004056,primitive groove
http://purl.obolibrary.org/obo/UBERON_0003097,dorsal fin
http://purl.obolibrary.org/obo/UBERON_2005383,dorsal fin proximal radial bone 6
http://purl.obolibrary.org/obo/UBERON_0005745,optic foramen
http://purl.obolibrary.org/obo/UBERON_0002233,tectorial membrane of cochlea
http://purl.obolibrary.org/obo/UBERON_0015829,forebrain ventricular layer
http://purl.obolibrary.org/obo/UBERON_0011939,vibrissa outer root sheath
http://purl.obolibrary.org/obo/UBERON_3010085,postrictal protuberances
http://purl.obolibrary.org/obo/CL_0000525,syncytiotrophoblast cell
http://purl.obolibrary.org/obo/UBERON_2001515,taenia marginalis posterior
http://purl.obolibrary.org/obo/UBERON_2002277,pectoral fin distal radial bone 1
http://purl.obolibrary.org/obo/UBERON_2001923,aortic canal
http://purl.obolibrary.org/obo/UBERON_0002844,eighth cervical dorsal root ganglion
http://purl.obolibrary.org/obo/UBERON_0004713,corpus cavernosum penis
http://purl.obolibrary.org/obo/UBERON_0010907,parafibula
http://purl.obolibrary.org/obo/CL_0000544,slowly adapting mechanoreceptor cell
http://purl.obolibrary.org/obo/UBERON_0004801,cervix epithelium
http://purl.obolibrary.org/obo/UBERON_0000107,cleavage stage
http://purl.obolibrary.org/obo/UBERON_2000941,nucleus of the medial longitudinal fasciculus synencephalon
http://purl.obolibrary.org/obo/UBERON_0013739,base of crypt of Lieberkuhn
http://purl.obolibrary.org/obo/CL_0002172,interdental cell of cochlea
http://purl.obolibrary.org/obo/UBERON_0009640,hypophyseal cartilage
http://purl.obolibrary.org/obo/UBERON_0001582,buccinator muscle
http://purl.obolibrary.org/obo/UBERON_0006339,third ventricle choroid plexus stroma
http://purl.obolibrary.org/obo/UBERON_0012651,mucosa of gastroduodenal junction
http://purl.obolibrary.org/obo/CL_1000329,tracheal goblet cell
http://purl.obolibrary.org/obo/UBERON_0002524,mediastinal lymph node
http://purl.obolibrary.org/obo/UBERON_0013136,vein of lip
http://purl.obolibrary.org/obo/UBERON_0011603,coronoid tooth
http://purl.obolibrary.org/obo/CL_0000082,epithelial cell of lung
http://purl.obolibrary.org/obo/UBERON_3010010,ventral skin texture
http://purl.obolibrary.org/obo/UBERON_0015853,dental pulp of median incisor tusk
http://purl.obolibrary.org/obo/CL_1001602,cerebral cortex endothelial cell
http://purl.obolibrary.org/obo/UBERON_0006358,vasa hyaloidea propria
http://purl.obolibrary.org/obo/UBERON_0004000,tarsal gland acinus
http://purl.obolibrary.org/obo/UBERON_0018250,middle thyroid artery
http://purl.obolibrary.org/obo/UBERON_0001273,ilium
http://purl.obolibrary.org/obo/UBERON_0010989,transverospinalis pre-muscle mass
http://purl.obolibrary.org/obo/UBERON_0004883,lung mesenchyme
http://purl.obolibrary.org/obo/UBERON_0004696,venous system smooth muscle
http://purl.obolibrary.org/obo/UBERON_0022326,molecular layer of dorsal cochlear nucleus
http://purl.obolibrary.org/obo/UBERON_0009500,periotic mesenchyme
http://purl.obolibrary.org/obo/UBERON_0000171,respiration organ
http://purl.obolibrary.org/obo/UBERON_0001678,temporal bone
http://purl.obolibrary.org/obo/UBERON_0001766,anterior chamber of eyeball
http://purl.obolibrary.org/obo/UBERON_0001134,skeletal muscle tissue
http://purl.obolibrary.org/obo/UBERON_0008876,hypodermis skeletal muscle layer
http://purl.obolibrary.org/obo/UBERON_0001838,sublingual duct
http://purl.obolibrary.org/obo/UBERON_0001926,lateral geniculate body
http://purl.obolibrary.org/obo/UBERON_0018100,distal mesopodial cartilage element
http://purl.obolibrary.org/obo/UBERON_0012150,skeleton of digitopodium
http://purl.obolibrary.org/obo/UBERON_0011093,left pelvic girdle region
http://purl.obolibrary.org/obo/UBERON_0004336,proximal phalanx of pedal digit 5
http://purl.obolibrary.org/obo/CL_0000487,oenocyte
http://purl.obolibrary.org/obo/UBERON_0004645,urinary bladder urothelium
http://purl.obolibrary.org/obo/UBERON_0010312,immature eye
http://purl.obolibrary.org/obo/UBERON_0014634,ventral nerve root of cervical spinal cord
http://purl.obolibrary.org/obo/UBERON_0004252,hindlimb stylopod muscle
http://purl.obolibrary.org/obo/CL_1000379,type 1 vestibular sensory cell of epithelium of macula of utricle of membranous labyrinth
http://purl.obolibrary.org/obo/UBERON_4300274,adipose fin ray
http://purl.obolibrary.org/obo/UBERON_3010193,prepollical protuberances
http://purl.obolibrary.org/obo/UBERON_0022318,olfactory cortex layer 2
http://purl.obolibrary.org/obo/UBERON_0012456,Merkel nerve ending
http://purl.obolibrary.org/obo/UBERON_2000398,nucleus isthmi
http://purl.obolibrary.org/obo/UBERON_0011960,articular capsule of glenohumeral joint
http://purl.obolibrary.org/obo/UBERON_0006671,orbital fat pad
http://purl.obolibrary.org/obo/UBERON_0004810,nephron tubule epithelium
http://purl.obolibrary.org/obo/UBERON_0009977,natal tooth
http://purl.obolibrary.org/obo/UBERON_0006274,tetrapod parietal bone primordium
http://purl.obolibrary.org/obo/UBERON_0014665,nucleus preopticus
http://purl.obolibrary.org/obo/UBERON_2005384,dorsal fin proximal radial bone 7
http://purl.obolibrary.org/obo/UBERON_0005569,rhombomere 2
http://purl.obolibrary.org/obo/UBERON_0010394,lymphocyte domain
http://purl.obolibrary.org/obo/UBERON_4300130,lateral pelvic gland
http://purl.obolibrary.org/obo/UBERON_0001600,tensor tympani
http://purl.obolibrary.org/obo/UBERON_2001737,coracoid foramen
http://purl.obolibrary.org/obo/UBERON_0009668,ventral mesentery
http://purl.obolibrary.org/obo/UBERON_0008921,substratum of layer of retina
http://purl.obolibrary.org/obo/UBERON_0001501,lumbrical muscle of manus
http://purl.obolibrary.org/obo/CL_0000457,biogenic amine secreting cell
http://purl.obolibrary.org/obo/UBERON_2000589,sulcus ypsiloniformis
http://purl.obolibrary.org/obo/UBERON_0003967,cutaneous elastic tissue
http://purl.obolibrary.org/obo/UBERON_0035756,capillary network of liver
http://purl.obolibrary.org/obo/UBERON_0004802,respiratory tract epithelium
http://purl.obolibrary.org/obo/UBERON_0010250,middle meningeal artery
http://purl.obolibrary.org/obo/UBERON_0000199,neck of radius
http://purl.obolibrary.org/obo/UBERON_0031906,lumbar spinal cord lateral horn
http://purl.obolibrary.org/obo/UBERON_0011238,mesethmoid bone
http://purl.obolibrary.org/obo/UBERON_0009552,distal segment of manual digit
http://purl.obolibrary.org/obo/UBERON_0022254,ventral thalamic fasciculus
http://purl.obolibrary.org/obo/UBERON_0001184,renal artery
http://purl.obolibrary.org/obo/UBERON_0006428,basisphenoid bone
http://purl.obolibrary.org/obo/UBERON_0022325,entorhinal cortex layer 5
http://purl.obolibrary.org/obo/UBERON_0035758,peritubular capillary plexus of kidney
http://purl.obolibrary.org/obo/UBERON_0004804,oviduct epithelium
http://purl.obolibrary.org/obo/UBERON_0004001,olfactory bulb layer
http://purl.obolibrary.org/obo/UBERON_0007374,incus cartilage element
http://purl.obolibrary.org/obo/UBERON_2000000,Brachet's cleft
http://purl.obolibrary.org/obo/UBERON_0006041,interdigital region between pedal digits 2 and 3
http://purl.obolibrary.org/obo/UBERON_0007632,Barrington's nucleus
http://purl.obolibrary.org/obo/UBERON_2000710,viscerosensory commissural nucleus of Cajal
http://purl.obolibrary.org/obo/UBERON_0004697,Peyer's patch germinal center
http://purl.obolibrary.org/obo/UBERON_0013713,posterior iliac spine
http://purl.obolibrary.org/obo/UBERON_0022327,entorhinal cortex layer 3
http://purl.obolibrary.org/obo/UBERON_0002039,inferior phrenic vein
http://purl.obolibrary.org/obo/UBERON_0015854,interpedicular line
http://purl.obolibrary.org/obo/CL_1000383,type 2 vestibular sensory cell of epithelium of macula of utricle of membranous labyrinth
http://purl.obolibrary.org/obo/UBERON_0001927,medial geniculate body
http://purl.obolibrary.org/obo/UBERON_0008789,cranial fossa
http://purl.obolibrary.org/obo/UBERON_0001135,smooth muscle tissue
http://purl.obolibrary.org/obo/UBERON_0011856,acinus of lactiferous gland
http://purl.obolibrary.org/obo/UBERON_0005750,glomerular parietal epithelium
http://purl.obolibrary.org/obo/UBERON_0014635,dorsal nerve root of cervical spinal cord
http://purl.obolibrary.org/obo/UBERON_0012151,skeleton of manual digitopodium
http://purl.obolibrary.org/obo/UBERON_0010225,thalamic complex
http://purl.obolibrary.org/obo/UBERON_0004253,skin muscle
http://purl.obolibrary.org/obo/UBERON_0016397,submental lymph node
http://purl.obolibrary.org/obo/UBERON_0015031,pedal digit 1 phalanx endochondral element
http://purl.obolibrary.org/obo/UBERON_0006699,foramen cecum of tongue
http://purl.obolibrary.org/obo/UBERON_0012457,Ruffini nerve ending
http://purl.obolibrary.org/obo/UBERON_0002871,hypoglossal nucleus
http://purl.obolibrary.org/obo/UBERON_0007634,parabrachial nucleus
http://purl.obolibrary.org/obo/UBERON_0010846,radius pre-cartilage condensation
http://purl.obolibrary.org/obo/UBERON_0003709,circle of Willis
http://purl.obolibrary.org/obo/UBERON_0014549,pyramidal layer of CA2
http://purl.obolibrary.org/obo/UBERON_0002075,viscus
http://purl.obolibrary.org/obo/UBERON_0011961,articular capsule of hip joint
http://purl.obolibrary.org/obo/UBERON_0004723,interlobular artery
http://purl.obolibrary.org/obo/UBERON_0014725,intercalated duct
http://purl.obolibrary.org/obo/UBERON_0004337,distal phalanx of manual digit 1
http://purl.obolibrary.org/obo/UBERON_0008453,rectus capitis anterior
http://purl.obolibrary.org/obo/UBERON_1500006,paired fin radial bone
http://purl.obolibrary.org/obo/UBERON_0008828,presphenoid bone
http://purl.obolibrary.org/obo/CL_0000152,exocrine cell
http://purl.obolibrary.org/obo/UBERON_0004893,interalveolar septum
http://purl.obolibrary.org/obo/UBERON_0003118,pharyngeal arch artery 1
http://purl.obolibrary.org/obo/UBERON_2005385,dorsal fin proximal radial bone 8
http://purl.obolibrary.org/obo/UBERON_0022319,lateral geniculate nucleus parvocellular layer
http://purl.obolibrary.org/obo/UBERON_0010416,lymph node B cell domain
http://purl.obolibrary.org/obo/UBERON_2000508,pelvic fin radial bone
http://purl.obolibrary.org/obo/UBERON_0005835,cuneate fasciculus of spinal cord
http://purl.obolibrary.org/obo/UBERON_0002633,motor nucleus of trigeminal nerve
http://purl.obolibrary.org/obo/UBERON_0006275,pericardio-peritoneal canal
http://purl.obolibrary.org/obo/UBERON_0006098,basal nuclear complex
http://purl.obolibrary.org/obo/UBERON_0012236,intercostal lymph node
http://purl.obolibrary.org/obo/UBERON_0011800,dermal pulp of feather shaft
http://purl.obolibrary.org/obo/UBERON_0006672,incisive canal
http://purl.obolibrary.org/obo/UBERON_0008922,sublaminar layer S1
http://purl.obolibrary.org/obo/UBERON_0011325,pharyngeal nerve plexus
http://purl.obolibrary.org/obo/CL_1001567,lung endothelial cell
http://purl.obolibrary.org/obo/UBERON_0018508,foramen of nasal bone
